ID;Categoria;Titolo Attività;Descrizione Dettagliata;Gruppo o Ruolo
01;Architecture & Design;Disegno Architetturale Cloud Base;Progettazione dell'architettura di base per ambienti cloud (pubblici, privati o ibridi). Include la definizione di reti virtuali, subnetting, regole di routing e componenti di base necessari per ospitare le applicazioni aziendali, assicurando scalabilità e sicurezza fin dal principio.;Cloud Architect
02;Architecture & Design;Progettazione Architettura RAG (Retrieval-Augmented Generation);Definizione dell'infrastruttura necessaria per supportare sistemi di AI generativa aziendale. Include la progettazione del repository documentale (es. SharePoint), pipeline di ingestion dati, Vector Database (es. Pinecone/Qdrant) e regole di network security per isolare le query ai modelli LLM.;AI Infrastructure Architect
03;Architecture & Design;Design Orchestrazione Multi-Agent;Progettazione di un'architettura a microservizi o serverless per ospitare e orchestrare un ecosistema Multi-Agent (es. tramite Google Antigravity o LangGraph). Include la definizione dei pattern di comunicazione asincrona (code/pub-sub), gestione dello stato e provisioning delle risorse computazionali.;AI Integration Architect
04;Architecture & Design;Implementazione Model Context Protocol (MCP);Progettazione e rilascio di server MCP sicuri all'interno della rete aziendale per consentire agli agenti LLM di interrogare in sicurezza database relazionali legacy, API interne e sistemi di ticketing (es. Jira/ServiceNow) senza esporre credenziali.;Security Engineer
05;Architecture & Design;Design Alta Affidabilità (HA);Progettazione di sistemi resilienti in grado di garantire la continuità operativa. Include la configurazione di cluster attivo-attivo, bilanciatori di carico L4/L7, auto-scaling group e ridondanza geografica multi-region sui cloud provider.;Infrastructure Architect
06;Architecture & Design;Design Disaster Recovery (DR);Definizione delle strategie e delle tempistiche (RTO e RPO) per il ripristino dei servizi IT a seguito di eventi disastrosi. Include la progettazione di siti secondari in cold/warm standby e la stesura delle procedure di failover e failback.;Disaster Recovery Specialist
07;Architecture & Design;Design Backup e Retention;Progettazione delle politiche di salvataggio dei dati aziendali. Definizione della frequenza di backup (giornalieri, settimanali, mensili), della tipologia (completi, incrementali), implementazione di storage immutabili contro i ransomware e calcolo del periodo di conservazione normativo.;Storage & Backup Architect
08;Architecture & Design;Design Network e Connettività;Progettazione dell'infrastruttura di rete logica e fisica ibrida. Include la definizione di topologie Hub&Spoke, VPN Site-to-Site, connessioni dedicate (es. AWS Direct Connect/Azure ExpressRoute), firewalling di perimetro e segmentazione interna Zero Trust.;Network Architect
09;Architecture & Design;Scouting Tecnologico e PoC;Ricerca, analisi comparativa e realizzazione di Proof of Concept (PoC) per nuove tecnologie infrastrutturali o servizi cloud emergenti, al fine di valutarne l'applicabilità, i costi e i benefici all'interno dell'ecosistema del cliente.;Innovation Architect
10;Architecture & Design;Design Piattaforma Container (Kubernetes);Progettazione dell'infrastruttura sottostante cluster Kubernetes (AKS, EKS, GKE). Definizione di nodepool, Ingress Controller, policy di rete Calico/Cilium e regole per l'autoscaling dei pod e dei nodi worker.;Cloud Native Architect
11;Architecture & Design;Design API Gateway;Progettazione dell'infrastruttura di front-end per l'esposizione sicura delle API aziendali verso l'esterno. Configurazione di logiche di autenticazione, rate limiting, throttling e routing avanzato verso i servizi backend.;Integration Architect
12;Architecture & Design;Progettazione Storage Enterprise;Selezione e design della soluzione di archiviazione dati ottimale (Block Storage per DB, File Storage per file server, Object Storage per backup/archiviazione). Ottimizzazione in base a requisiti di IOPS, throughput e tiering freddo.;Storage Architect
13;Architecture & Design;Design Edge Computing Infrastructure;Progettazione di infrastrutture di calcolo distribuite ai margini della rete (es. stabilimenti IoT, negozi retail) per l'elaborazione dei dati a bassissima latenza prima dell'invio asincrono verso il cloud centrale.;Edge Computing Architect
14;Architecture & Design;Design Landing Zone Cloud;Progettazione dell'architettura di base (Landing Zone) su cloud provider con setup di multi-account, IAM centralizzato, SCPs (Service Control Policies) e configurazione di base del network e logging (es. AWS Control Tower / Azure Landing Zone).;Cloud Architect
15;Assessment & Analysis;Assessment Infrastruttura Cliente (Cloud Readiness);Analisi dello stato di fatto dell'infrastruttura IT on-premise di un cliente per valutarne la prontezza alla migrazione cloud. Include l'inventario degli asset (discovery), l'identificazione delle dipendenze applicative e la produzione di un report con la strategia di migrazione (Rehost, Refactor, Rearchitect).;Cloud Consultant
16;Assessment & Analysis;Analisi Obsolescenza HW/SW (End of Life);Valutazione sistematica del ciclo di vita di server, sistemi operativi, middleware e database. Identificazione dei sistemi prossimi alla fine del supporto ufficiale (EOL/EOS) e pianificazione degli interventi di refresh o upgrade tecnologico.;System Administrator
17;Assessment & Analysis;Analisi Root Cause Incidenti (RCA);Indagine approfondita a seguito di incidenti critici (Sev 1/Sev 2). Analisi di log di sistema, metriche applicative e configurazioni di rete per identificare la vera causa radice del malfunzionamento e definizione dei piani di remediation per evitarne la ricorrenza.;Problem Manager
18;Assessment & Analysis;Analisi Performance e Capacity;Monitoraggio storico e valutazione delle prestazioni infrastrutturali. Analisi dei colli di bottiglia (CPU, RAM, I/O disco) e produzione di piani di capacity planning per adeguare le risorse ai futuri carichi di lavoro previsti.;Performance Engineer
19;Assessment & Analysis;Review Architetturale e Well-Architected Framework;Sessioni periodiche di revisione di un'infrastruttura cloud esistente misurandola contro i pilastri del Well-Architected Framework (Sicurezza, Affidabilità, Costi, Performance, Operation) per individuare margini di miglioramento.;Cloud Architect
20;Assessment & Analysis;Analisi Impatto di Business (BIA) IT;Collaborazione con gli stakeholder di business per quantificare l'impatto economico e operativo di un potenziale disservizio dei sistemi IT, al fine di giustificare o calibrare gli investimenti in soluzioni di DR e HA.;IT Business Analyst
21;Assessment & Analysis;Analisi TCO (Total Cost of Ownership);Conduzione di analisi finanziarie approfondite per confrontare il costo totale di mantenimento di un'infrastruttura on-premise (CapEx+OpEx) rispetto a molteplici scenari di migrazione in cloud pubblico, includendo licenze, energia e personale.;IT Business Analyst
22;Assessment & Analysis;Analisi Codice Sorgente per Obsolescenza Middleware/OS;Scansione profonda di repository applicativi (Java, .NET, ecc.) per individuare librerie, API o chiamate di sistema incompatibili con le nuove versioni target del sistema operativo o del middleware, producendo un report di remediation.;DevOps Engineer
23;Assessment & Analysis;Analisi Codice per Migrazione Database;Utilizzo di AI per analizzare il codice sorgente delle applicazioni e le stored procedure del database legacy per identificare costrutti SQL incompatibili con il database target in cloud (es. da Oracle a PostgreSQL), suggerendo le riscritture ottimali.;Database Engineer
24;Bid Management & Tenders;Analisi Conformità Risposta a Gara Pubblica;Analisi automatizzata della documentazione di risposta a bandi di gara pubblici. Confronto massivo tra la documentazione prodotta e i requisiti del capitolato tecnico per evidenziare lacune, non conformità o requisiti non indirizzati adeguatamente.;Bid Manager
25;Bid Management & Tenders;Analisi Competitor e Web Scraping per Gare;Esecuzione di scraping automatizzato su portali pubblici e siti web dei principali competitor per identificare soluzioni o risposte tecnologiche precedentemente pubblicate. Analisi semantica per stilare una classifica di competitività e suggerire strategie differenzianti.;Market Analyst
26;Bid Management & Tenders;Automazione Generazione Risposte a Gare;Sviluppo di una pipeline RAG che, interrogando uno storico di offerte vincenti aziendali (SharePoint/VectorDB), genera automaticamente le prime bozze dei paragrafi tecnici per la risposta a nuovi capitolati, mantenendo la coerenza stilistica e tecnica.;Bid Manager
27;Bid Management & Tenders;Analisi Requisiti Capitolato Tecnico (SAC/Consip);Estrazione automatica e classificazione dei requisiti mandatori (tecnici, di sicurezza, di compliance) dai capitolati tecnici di gare pubbliche o Accordi Quadro (es. SPC/SAC Consip), generando una matrice di tracciabilità (Requirements Traceability Matrix) da assegnare agli architetti.;Bid Engineer
28;Bid Management & Tenders;Generazione CV e Matrice Competenze;Analisi automatica del database aziendale dei CV per individuare i profili T&A più aderenti ai requisiti stringenti di una gara pubblica o Accordo Quadro, impaginando automaticamente i CV nel formato richiesto dal bando.;Bid Manager
29;Bid Management & Tenders;Stima Automatica Effort per Accordi Quadro;Utilizzo di modelli LLM addestrati sui dati storici aziendali per stimare rapidamente l'effort infrastrutturale (giornate/uomo, tipologia di profili) richiesto dai task order di un Accordo Quadro, riducendo i tempi di risposta al cliente.;Solution Architect
30;Bid Management & Tenders;Revisione Linguistica e Formale Offerta Tecnica;Revisione automatica dell'intera Offerta Tecnica prodotta dai vari team architetturali per uniformare lo stile, correggere incongruenze terminologiche e verificare il rispetto dei limiti di pagina/caratteri imposti dal disciplinare di gara pubblica.;Technical Writer
31;Bid Management & Tenders;Generazione Executive Summary per Gare;Creazione automatica di un Executive Summary persuasivo e di alto livello, sintetizzando le centinaia di pagine dell'Offerta Tecnica infrastrutturale (soluzioni cloud, DR, sicurezza) per i decisori della Pubblica Amministrazione.;Bid Director
32;Database Management;Migrazione Dati e Database (Lift & Shift / PaaS);Progettazione ed esecuzione della migrazione di database on-premise verso ambienti cloud, sia in modalità IaaS (VM) che verso servizi PaaS gestiti (es. AWS RDS, Azure SQL). Gestione del cutover con downtime minimo.;Database Administrator
33;Database Management;Tuning e Ottimizzazione Query DB;Analisi delle prestazioni del motore database, individuazione di query lente tramite execution plan, creazione di indici mancanti, riorganizzazione degli spazi e modifica dei parametri di memoria dell'istanza.;Database Administrator
34;Database Management;Implementazione Replica e Log Shipping;Configurazione di meccanismi di replica dei dati sincrona o asincrona tra datacenter geograficamente distanti per garantire tolleranza ai guasti regionali e bilanciamento dei carichi di lettura del DB.;Database Administrator
35;Database Management;Mascheramento e Anonimizzazione Dati;Implementazione di script e procedure per offuscare, anonimizzare o pseudonimizzare i dati sensibili (PII) durante le operazioni di copia dei database di produzione verso gli ambienti di test e sviluppo, garantendo compliance GDPR.;Database Engineer
36;Database Management;Progettazione Data Lakehouse;Design architetturale di un Data Lakehouse per l'ingestion, la conservazione e l'analisi di dati strutturati e non strutturati. Definizione dei tier di storage (es. S3/ADLS) e dei layer di calcolo (es. Databricks/Snowflake).;Data Architect
37;Documentation;Realizzazione HLD e LLD;Stesura e aggiornamento continuo di High Level Design (HLD) e Low Level Design (LLD) a partire dai requisiti di business. Traduzione delle specifiche in diagrammi di rete, tabelle di dimensionamento e matrici dei flussi di comunicazione.;Technical Writer
38;Governance & PM;Stima Effort Tecnico (Technical Scoping);Valutazione granulare delle giornate/persona, delle competenze necessarie e dei rischi tecnologici associati alla realizzazione di una nuova architettura o migrazione, fornendo input cruciali in fase di prevendita o budgeting.;Solution Architect
39;Governance & PM;Gestione Fornitori e Vendor IT;Interazione tecnica con i fornitori di cloud provider o vendor software per la gestione delle escalation di supporto (apertura ticket vendor), valutazione di nuove roadmap di prodotto e negoziazione tecnica delle soluzioni.;Service Manager
40;Operations & Maintenance;Patch Management Strutturato;Pianificazione, test in ambiente di staging e successiva distribuzione massiva di patch di sicurezza critiche su un vasto parco di server Windows e Linux, minimizzando l'impatto sui servizi erogati (zero-downtime patching).;System Administrator
41;Operations & Maintenance;Upgrade Major Version Middleware/OS;Esecuzione di progetti complessi per l'aggiornamento di major release di sistemi operativi o application server (es. da RHEL 7 a 8, o da Tomcat 8 a 9), gestendo la risoluzione delle dipendenze applicative e i collaudi.;System Administrator
42;Operations & Maintenance;Troubleshooting e Gestione Ticket L3;Presa in carico, analisi tecnica profonda e risoluzione di incidenti infrastrutturali complessi scalati dal livello 2. Intervento diretto su configurazioni OS, network routing e parametri middleware in emergenza.;IT Support Level 3
43;Operations & Maintenance;Ottimizzazione Costi Cloud (FinOps);Analisi continua della reportistica di billing cloud per identificare sprechi. Esecuzione di azioni di right-sizing (ridimensionamento istanze), spegnimento programmato di ambienti non produttivi e acquisto di Reserved Instances.;FinOps Analyst
44;Operations & Maintenance;Gestione e Rotazione Certificati SSL;Monitoraggio proattivo delle scadenze dei certificati crittografici. Generazione di nuove CSR, interazione con le CA, installazione dei nuovi certificati su web server/load balancer e configurazione dell'automazione (es. certbot).;Security Administrator
45;Operations & Maintenance;Tuning Piattaforme di Monitoraggio;Configurazione avanzata di strumenti di monitoraggio (es. Datadog, Dynatrace, Zabbix). Definizione di dashboard custom, calibrazione delle soglie di allarme per ridurre i falsi positivi e integrazione degli alert verso Microsoft Teams.;Monitoring Specialist
46;Operations & Maintenance;Gestione Configuration Management Drift;Implementazione di processi per rilevare in tempo reale le deviazioni non autorizzate dalle configurazioni standard sui server in produzione (configuration drift) e ripristino automatico dello stato desiderato tramite Ansible/Puppet.;DevOps Engineer
47;Operations & Maintenance;Manutenzione Hardware e Cablaggio (On-Premise);Pianificazione ed esecuzione di interventi fisici nei datacenter aziendali. Sostituzione di dischi guasti, espansione banchi RAM, cablaggio strutturato a rack e aggiornamento firmware delle schede madri e switch.;Datacenter Technician
48;Operations & Maintenance;Gestione Aggiornamenti Firmware (Bare Metal);Pianificazione ed esecuzione massiva degli aggiornamenti firmware per server fisici (BIOS, iDRAC/iLO, schede di rete e HBA) garantendo la compatibilità con l'hypervisor e i sistemi operativi.;Datacenter Administrator
49;Operations & Maintenance;AIOps - Manutenzione Predittiva;Implementazione di modelli di Machine Learning per l'analisi dei log storici e delle metriche di sistema al fine di prevedere guasti hardware o esaurimento risorse (disk space, memory leak) prima che si verifichi l'incidente.;AI Infrastructure Architect
50;Operations & Maintenance;AIOps - Raggruppamento Intelligente Allarmi (Alert Correlation);Configurazione di algoritmi AIOps per correlare e raggruppare dinamicamente centinaia di allarmi di monitoraggio in singoli incidenti root-cause, riducendo drasticamente l'alert fatigue per i team operativi.;Monitoring Specialist
